username,panel_ind,comments,properties
MML BLK 1,1,MML Track 1 first block on left side,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}
MML BLK 2,1,MML Track 1,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}
MML BLK 3 OS,1,MML Track 1 Switch 1 ,{STN_CD:MML;OnTrack:MNL;SensedObject:BlockOverSwitch;RelatedObject:MML SW 1 LH}
MML BLK 4,1,MML Track 1,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}
MML BLK 5 OS,1,MML Track 1 Switch 2,{STN_CD:MML;OnTrack:MNL;SensedObject:BlockOverSwitch;RelatedObject:MML SW 2 LH}
MML BLK 6 PF,1,MML Track Loop Line Platform 1,{STN_CD:MML;OnTrack:LPL;SensedObject:Block;XTRA:Platform 1}
MML BLK 7,1,MML Track 1 Platform 2,{STN_CD:MML;OnTrack:MNL;SensedObject:Block;XTRA:Platform 2}
MML BLK 8 OS,1,MML Track 1 Switch 3 ,{STN_CD:MML;OnTrack:MNL;SensedObject:BlockOverSwitch;RelatedObject:MML SW 3 RH}
MML BLK 9,1,MML Track 1,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}
MML BLK 10 OS,1,MML Track 1 Switch 4,{STN_CD:MML;OnTrack:MNL;SensedObject:BlockOverSwitch;RelatedObject:MML SW 4 RH}
MML BLK 11,1,MML Track 1,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}
MML BLK 12,1,MML Track 1 first block on right side,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}
MML BLK 13,1,MML Track 2 first block on left side,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}
MML BLK 14,1,MML Track 2,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}
MML BLK 15 OS,1,MML Track 2 Switch 5,{STN_CD:MML;OnTrack:MNL;SensedObject:BlockOverSwitch;RelatedObject:MML SW 5 LH}
MML BLK 16 PF,1,MML Track 2 Platform 3,{STN_CD:MML;OnTrack:MNL;SensedObject:Block;XTRA:Platform 3}
MML BLK 17 OS,1,MML Track 2 Switch 6,{STN_CD:MML;OnTrack:MNL;SensedObject:BlockOverSwitch;RelatedObject:MML SW 6 RH}
MML BLK 18,1,MML Track 2,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}
MML BLK 19,1,MML Track 2 first block on the right side,{STN_CD:MML;OnTrack:MNL;SensedObject:Block}